question;reponse;thematiques
Mon compte & Paramètres Détails du profil Confirme ton identité pour changer ton adresse e-mail;"Confirme ton identité pour changer ton adresse e-mail
Si tu souhaites modifier ton adresse e-mail actuellement enregistrée sur Vinted, à laquelle tu n’as pas accès, tu peux nous demander de la modifier pour toi. Pour vérifier que c'est toi qui nous écris, nous te demandons de nous envoyer une preuve de ton identité. De cette façon, nous pouvons te protéger de tous ceux qui essaient de faire la mise à jour en ton nom.
Comment ça marche ?
Pour confirmer ton identité, merci de nous faire parvenirl'une des preuves suivantes :
Une photo / capture d'écran de ton relevé bancaire montrant tes dernières charges sur Vinted.Un justificatif de domicile : il peut s’agir d’une facture de services publics datant de moins de 3 mois, indiquant ton nom et ton adresse actuelle (par exemple, d’une facture d’essence, d’électricité, d’eau, de téléphone fixe, mais pas d’une facture de téléphone portable), ou d’une photo / capture d’écran de ton relevé bancaire où ton adresse de facturation est visible.Une photo de ta carte de crédit que tu as utilisée pour tes achats sur Vinted (la photo doit présenter le nom complet du titulaire de la carte, les 4 derniers chiffres et la date d'expiration de la carte).
Remarque importante : en communiquant ta preuve d’identité, écris-nous également tanouvelle adresse e-mail.";Mon compte & Paramètres Détails du profil
Mon compte & Paramètres Détails du profil Les informations de mon profil sont-elles visibles aux autres membres ?;"Les informations de mon profil sont-elles visibles aux autres membres ?
Les informations disponibles sur ton profil (vrai nom, sexe, e-mail, âge) ne sont pas visibles aux autres membres : tout est sécurisé.
En allant sur ton profil, les membres verront :
Ton identifiantTa photo de profilCe que tu as écrit dans la sectionÀ propos de moiTes informations vérifiéesTa ville";Mon compte & Paramètres Détails du profil
"Mon compte & Paramètres Détails du profil A quoi consiste la partie ""À propos de moi"" ?";"A quoi consiste la partie ""À propos de moi"" ?
La sectionÀ propos de moi te permet de te présenter brièvement aux autres membres, de parler un peu de toi et de leur présenter ton style. Tu n’es pas obligé de remplir cette partie de ton profil mais nous te le recommandons vivement.
Voilà un exemple de description :
Tous les membres pourront lire cette partie de ton profil, n'oublie pas de rester amical.";Mon compte & Paramètres Détails du profil
Mon compte & Paramètres Détails du profil Le mode vacances;"Le mode vacances
Si tu pars en vacances et ne pourras pas envoyer des articles que tu vends, tu peux utiliser le mode indisponible. Ce mode masquera tous tes articles pendant ton absence.Voilà comment :Clique sur ta photo de profilPuis surMes paramètresClique sur le bouton à côté deMode VacancesEnregistre ces modifications en cliquant surMettre à jourBon à savoir :N’oublie pas de désactiver le mode vacances dans un délai de 90 jours. Les articles qui auront été masqués pendant plus de 90 jours seront définitivement supprimés. Si tu es dans ce cas, nous t’enverrons un rappel avant que tes articles ne soient supprimés.";Mon compte & Paramètres Détails du profil
Mon compte & Paramètres Détails du profil Comment changer mon adresse e-mail ?;"Comment changer mon adresse e-mail ?
Pour changer ton adresse email :Clique sur ton profil et sélectionneMes paramètresModifie ton adresse e-mail en cliquant sur le boutonChangerClique surEnvoyer un email de confirmationOuvre le message que tu auras reçu sur ton adresse e-mail actuelle et appuie surChanger d’emailEntre ta nouvelle adresse e-mail en cliquant surChangerTu recevras ensuite un message de confirmation sur ta nouvelle adresse e-mail. Ouvre-le et appuie surConfirmer cette adresse e-mail. C’est fait !*Remarque : Si tu n'as pas accès à l’adresse e-mail avec laquelle tu es actuellement inscrit,envoie-nous une preuve de la propriété de ton compte Vinted . Nous t’aiderons à effectuer les changements.Bon à savoirLes messages de confirmation que nous t’envoyons risquent de se retrouver dans les dossiers Spam ou Courrier indésirable de ton adresse e-mail. Pense donc à les vérifier également.";Mon compte & Paramètres Détails du profil
Mon compte & Paramètres Détails du profil Est-il possible de modifier mon identifiant ?;"Est-il possible de modifier mon identifiant ?
Pour des raisons de sécurité et afin que les autres membres puissent te retrouver facilement, il est impossible de modifier ton identifiant.
Toutefois, nous attachons une grande importance à la protection de vos données personnelles, c’est pourquoi nous pouvons faire une exception et changer ton identifiant s'il contient :
Ton nom et prénomTon adresse mail
Si c'est le cas, tu peux nous contacter en cliquant le bouton ci-dessous.";Mon compte & Paramètres Détails du profil
Mon compte & Paramètres Détails du profil Comment changer mon mot de passe ?;"Comment changer mon mot de passe ?
Modifier son mot de passe, c’est simple :Clique sur ta photo de profil, puisMes préférencesClique sur le boutonModifier, à côté de la sectionMot de passeEntre ton mot de passe actuel et ton nouveau mot de passeEnregistre tes modifications en cliquant surChanger mon mot de passeTerminé ! Tu recevras une confirmation du changement de mot de passe sur l’adresse e-mail que tu as enregistrée sur Vinted.";Mon compte & Paramètres Détails du profil
Mon compte & Paramètres Détails du profil Comment supprimer mon compte ?;"Comment supprimer mon compte ?
Nous sommes tristes de te voir partir ! Si nous pouvons faire quoi que ce soit pour t’aider, écris nous via le boutonContacte le supportci-dessous.Cependant, si tu as pris ta décision, voici les étapes à suivre pour supprimer ton compte sur Vinted :Clique sur ta photo de profil en haut à droite de ton écranSélectionneMes paramètresRends toi tout en bas de cette section, et clique surSupprimer mon comptepour finaliser la suppression.Tu souhaites supprimer un ancien compte auquel tu n’as pas accès ?Contacte nousvia le bouton ci-dessous et nous le supprimerons, une fois que nous aurons la preuve qu’il s’agit bien de ton propre compte.Bon à savoir:Tu pourras supprimer ton compte seulement après que toutes les transactions en cours dessus aient été finalisées.Après la suppression de ton profil, toutes les informations le concernant (par exemple, tes commentaires et tes articles) seront supprimés définitivement.";Mon compte & Paramètres Détails du profil
Mon compte & Paramètres Détails du profil Comment faire vérifier mon compte avec Google/Facebook ?;"Comment faire vérifier mon compte avec Google/Facebook ?
Associe tes comptes Google et/ou Facebook pour faire vérifier ton profil Vinted. Ces vérifications boostent tes ventes et facilitent tes achats. Elles seront visibles aux autres membres, sur ton profil.Comment ?Clique surMes paramètres dans ton profilPuis dans lesDétails du profilClique ensuite sur les boutonsAjouter, à côté de Google ou Facebook et suis les différentes étapes.Bon à savoir :Nous ne postons rien sur tes comptes Google ou FacebookIl est possible que nous te demandions de faire vérifier ton compte à tout moment, quand tu seras sur le site.";Mon compte & Paramètres Détails du profil
Mon compte & Paramètres Paramètres des Paiements & Envois Comment modifier les modes de livraison ?;"Comment modifier les modes de livraison ?
Plus tu proposes de mode de livraison à tes acheteurs, plus tes acheteurs seront intéressés par tes articles.Sélectionne tes modes de livraison :Clique sur ta photo de profil en haut à droite, puis surMes paramètresClique surEnvoiActive les mode de livraison que tu souhaites utiliserBon à savoir :Envoi international et La Poste avec suivi ainsi que l’envoi international sont activés pour tous les utilisateurs de Vinted et ne peuvent pas être désactivés.Cesoptions dépendent de ton emplacement.Il est nécessaire de suivre les instructions de livraison que tu as reçues dans ta boîte de réception. Dans le cas contraire, ta commande risque d’êtreannulée et l'acheteur remboursé";Mon compte & Paramètres Paramètres des Paiements & Envois
Mon compte & Paramètres Paramètres des Paiements & Envois Comment modifier mon adresse ?;"Comment modifier mon adresse ?
Tu peux modifier ou ajouter ton adresse de 2 façons :Quand tu effectueras ton premier achat, nous te demanderons d’ajouter ton adresse.Tu auras encore la possibilité de modifier ton adresse par la suite.Comment procéder :Rends-toi dansMes paramètresClique ensuite surEnvoiModifie ou ajoute ton adresseClique enfin surEnregistrer pour sauvegarder ces changementsBon à savoir :Quand tu ajoutes ton code postal, le nom de ta ville va s’inscrire automatiquementTes informations personnelles resteront toujours confidentielles sur notre plateforme.";Mon compte & Paramètres Paramètres des Paiements & Envois
Mon compte & Paramètres Paramètres des Paiements & Envois Ajouter/modifier une carte de crédit;"Ajouter/modifier une carte de crédit
Ajouter ta carte bancaire pour la première foisQuand tu achètes sur Vinted pour la première fois, tu dois entrer les données de ta carte bancaire. Pour cela il te suffit de choisir un article, d’écrire au vendeur si tu as des questions puis de cliquer surAcheter.Entreton nom et prénomEntrele numéro de ta carte bancaireEntrela date d’expirationEntrele numéro CVVInscrisl’adresse de livraisonAjouter plusieurs cartes bancairesPhoto de profilMes paramètresOptions acheteurPaiementsAjouter une nouvelle carte bancaireCréerAu moment de l’achat, Vinted sélectionnera automatiquement la dernière carte bancaire utilisée. Si tu désires utiliser une autre carte bancaire, veille à ce que celle-ci soit bien selectionnée au moment de l’achat.Supprimer une carte bancairePhoto de profilMes préféréncesOptions acheteurPaiementsSupprimerConfirmationAttention :Si tu ne possèdes pas de carte bancaire valide, tu peux demander la permission à un membre de ta famille d’utiliser sa carte bancaire. Nous te rappelons également qu’il est interdit par la loi d’utiliser la carte de crédit d’autrui sans son autorisation.";Mon compte & Paramètres Paramètres des Paiements & Envois
